paper_name,current_A,voltage_V,speed_mm_min,oxygen_ppm,penetration_mm,hardness_HV,ferrite_FN,penetration_context
tseng2014.pdf,"2014, 2, 100, 150, 3, 180, 2., 22.5, 2, 50","56.1, 2","140, 140, 140, 140, 140","300, 92, 70, 46, 70",,,"12, 0.4, 5.0, 0.4, 8.0, 5.8","Compared with
microparticle SiO , the TIG welding with nanoparticle SiO has the potential benefits of
2 2
high joint penetration and less angular distortion in the resulting weldment. | The TIG
welding with nanoparticle Al O does not result in a significant increase in the penetration
2 3
or reduction of distortion. | Compared with oxide particle size, the thermal stability of the oxide plays a significant role
in enhancing the joint penetration capability of the weld, for the UNS S31603 stainless
steel TIG welds made with activated oxides. | The low productivity of TIG welding results from a combination of a low
deposition rate and shallow joint penetration. | The TIG welding with activated flux is a notable arc
welding that can dramatically increase the joint penetration."
Effect of post-weld heat treatment on the microstructure and tensile properties of electron-beam-welded 21st century nickel-based super alloy 686.pdf,"2018, 276, 625, 718., 718, 20, 13, 6, 686, 686",,,,,,,
Influence of Activated flux.pdf,"6, 2, 20, 350, 140, 170, 140, 170, 170, 2","570, 8, 304., 2, 22, 22, 13.",,,"5, 6",,,"Submit your article to this journal
Article views: 570
View related articles
View Crossmark data
Citing articles: 8 View citing articles
Full Terms & Conditions of access and use can be found at
https://www.tandfonline.com/action/journalInformation?journalCode=lmmp20
MaterialsandManufacturingProcesses,30:1115–1123,2015
Copyright#Taylor&FrancisGroup,LLC
ISSN:1042-6914print=1532-2475online
DOI:10.1080/10426914.2014.973591
Influence of Current and Shielding Gas in TiO Flux Activated TIG
2
Welding on Different Graded Steels
Surinder Tathgir, Anirban Bhattacharya, and Tarun Kumar Bera
Mechanical Engineering Department, Thapar University, Patiala, Punjab, India
Intungsteninertgas(TIG)welding,limiteddepthofpenetrationcanbeachievedduringsinglepasswelding.Toachievethedesireddepth
ofpenetration,thespeedofweldingneedstobesignificantlyreducedandhence,theproductivitydecreases.Inthepresentwork,theeffectof
TiO activatedfluxonpenetrationisevaluatedfordifferentworkpiecesnamelyAISI1020,AISI304,AISI316,andDuplex2205steelsat
2
differentcurrentsandshieldinggascompositions.Theresultsshowasignificantincreaseinthedepthofpenetrationandreductioninthe
width-to-penetration ratio using the activated flux for all the workpiece materials considered here. | Current increases the depth of
penetration,however,theinfluenceoffluxbecomesmoresignificantwithhigherweldingcurrent.Maximumof37.8%,44.3%,47%,and
124%increaseindepthsofpenetrationismeasuredforAISI1020,AISI304,AISI316,andDuplex2205steels,respectively,whenactivated
fluxisused.Also,maximumof70%increaseinthedepthofpenetrationisfurtherachievedwhenAralongwith5%H isusedastheshield-
2
inggascomparedtothatwhenpureArisused.Theconstrictionofarccolumnincreasestheenergydensity,whichincreasesthedepthof
penetration.MeasurementofmicrohardnessandmetallurgicalobservationsarecarriedoutforsamplesafterTIGweldingandactivated
tungsteninertgas(ATIG)weldingandcomparedtoobservethesolidificationphenomenonduringtheprocess. | Keywords Activatedflux;Arc-column;Current;Gas;Microstructure;Penetration;Shielding;Steels;TIG. | INTRODUCTION reasonably and increases bead penetration marginally
in comparison to argon. | A modification over the con-
Gas tungsten arc welding (GTAW) or tungsten inert
ventional TIG where a fine layer of activated flux
gas (TIG) welding is one of the commonly used fusion
welding processes capable of producing high quality (called activated TIG; ATIG) is used, increases the
penetration depth."
Activated TIG welding of IN617-P91.pdf,"2026, 617, 500, 617, 91, 0.09, 1, 4., 91, 91","9, 270, 5, 270, 6",1,,7.49,"8, 3, 7, 2, 3, 2, 3, 8, 175, 207",,"A-TIG welding trials were conducted on an 8 mm thick plate, and complete penetration was
achieved using this optimized flux configuration. | Although GTAW offers numerous benefits, it has certain limita-
because it produces strong, seamless joints that are less susceptible to tions, particularly regarding depth of penetration. | Gas tungsten arc welding (GTAW) that GTAW of steel usually restrict complete depth of penetration in the
uses a non-consumable tungsten electrode; while using novel gases such weld joint with a maximum thickness of 3 mm with a slower welding
as helium (He) or argon (Ar), the inert gas provides the protection of the speed. | M a t e r i a l s T o d a y C o m m u n i c a t i o ns 51 (2026) 114863
helium mixture depth of penetration can be slightly increased, i.e., high-quality joining of nickel-based superalloys and Ferritic steels [25]. | The possibility of increasing the depth of penetration by A-TIG helps to overcome the limitations of conventional TIG welding."
Performance of activated TIG welding in 304 austenitic.pdf,"304, 304, 304, 160, 80, 140, 140, 140, 2",,100,,3,"319, 198, 232",,"The
results indicated that there was a significant increase in penetration depth on using metal oxides but Al O does not give
2 3
satisfactory result. | Keywords:Activated flux, autogenous TIG welding, penetration depth, heat affected zone;
1. | In spite of having so many advantages it
has severe disadvantage of shallow penetration depth. | The first
attempt toward achieving more penetration was done by E.O. | They
named it as activated TIG welding (A-TIG) welding and found that the application thin layer of flux prior to weld
increases the penetration up to three times."
ATIG full.pdf,"2, 1998, 304, 608, 0.021, 300, 200, 20, 3, 220","2, 40, 10, 2.5, 1",20,,"5, 8",,3,"ATIG welding uses a thin layer of an activeflux that results in a great increase in weld penetration. | The changes in weld geometry were compared to variations in the
electricalsignalsfromthearcandthearcshape.Theeffectofthefluxontheweldmicrostructurewasalsostudied.Theresultsindicatethat
even thevery simple flux that was used can greatly increase the penetration of theweld bead. | Introduction partoftheshieldinggasmixture,beadpenetrationcanonly
be increased slightly (1–2mm) [1,2]. | The capacity to
TheTIGweldingprocess(orGTAW)isusedwhenagood improve the penetration by the selection of the shielding
weldappearanceandahighqualityoftheweldarerequired. | However, plasma
ThemaindisadvantagesoftheTIGprocessinclude:(a)its welding is much more complexand presents greater initial
relatively shallow penetration capability, particularly in and operational costs than that for the TIG process."
Electrostatic probe analysis of SiO2 activating flux powders transition.pdf,"2, 2, 2, 2022, 2, 3003, 160, 1, 2., 2","25, 3.26",,5,,,,"JournalofManufacturingProcesses84(2022)600–609
Contents lists available at ScienceDirect
Journal of Manufacturing Processes
journal homepage: www.elsevier.com/locate/manpro
Electrostatic probe analysis of SiO activating flux powders transition
2
behavior in Powder Pool Coupled Activating TIG alternating current arc
plasma for aluminum alloy
Yong Huanga,b,*, Qianpeng Lia, Xupu Xuea, Hang Xua, Jiankang Huangb,**, Ding Fana,b
aSchool of Materials Science and Engineering, Lanzhou University of Technology, Lanzhou 730050, China
bState Key Laboratory of Advanced Processing and Recycling of Non-Ferrous Metals, Lanzhou University of Technology, Lanzhou 730050, China
A R T I C L E I N F O A B S T R A C T
Keywords: In alternating current Powder Pool Coupled Activating TIG welding for aluminum alloy, activating flux powders
Powder Pool Coupled Activating TIG are transferred into the arc-pool coupling system through the outer gas to dramatically improve the weld
Arc plasma penetration. | The transition behavior of activating flux powders affects the weld penetration and forming
Arc compression
Electrostatic probe
intensely. | Compared with
traditional TIG welding, the transition of activating flux powders makes the arc constrict, at the same time, the
temperature along the axial centerline of arc raises, and the arc voltage significantly increases, all of which
contributes to the obvious increase in weld penetration through SiO2 activating flux. | However, for
flux is coated on the surface of the welding plate to significantly increase aluminum alloys, these welding methods introducing O element through
the weld penetration under the condition of ensuring welding quality. | The mechanism of weld penetration increasing was believed to (Powder Pool Coupled Activating TIG) welding."
Evaluation of MIG welding process parameter using activated flux.pdf,"3, 2, 1., 5220, 350, 180, 3, 1, 2, 3","31.5, 24, 3, 6., 7",180,,,,,"The process parameters such as welding speed, current, Arc voltage and response are welding
dimension such as depth of penetration, Bead width were studied. | AHP-MOORA and ASRS method was
2 2 3
applied to optimizing the MIG welding process parameters and result indicated the enhanced penetration in
weld achieved with use of fluxes Sio, Cr O. | On the basis of present result it is considered that the centripetal
2 2 3
Marangoni convection & Constricted arc as a mechanism in increasing the penetration of activated MIG
welding. | Keywords: Actiavted Mig welding , Penetration, AHP, MOORA, ASRS. | Oxide coating
consists of iron, chromium, silicon, titanium, manganese, nickel, cobalt, molybdenum and calcium
are reported to improve weld ability and increase the welding speed [1].Modnesi and Eusta [2]
studiedpenetration can be obtained in A-TIG welding using activated Fluxes.Shanping and
Hidetoshi [3] studied Cu O has a narrow effective flux-quantity range for the deep penetration."
Activating flux tungsten inert gas welding for enhanced weld.pdf,"2016, 2016, 7, 2., 3., 2.2, 2.3, 4, 2., 1","3., 7., 13., 32., 34., 2014.",0.75,"50, 76, 47",6,,,"Journal of Manufacturing Processes 22 (2016) 211–228
Contents lists available at ScienceDirect
Journal of Manufacturing Processes
j ourna l h o me page: www.elsevier.com/locate/manpro
Review
Activating flux tungsten inert gas welding for enhanced weld
penetration
R.S. | Despite
capable of offering a penetration up to 5–6 mm in a single pass weld, it could not find enough space in
industrial applications, primarily due to few inherent unfavorable features: (a) two-step nature of the
process, (b) poor weld-bead and (c) poor electrode life. | High penetration capability of A-TIG process has
fascinated researchers and renewed the research interest in last one decade. | In the present work, attempts
have been made to analyze and review the literature published with respect to (a) advancement of various
hypotheses to explain the reasons for high penetration achieved using A-TIG, (b) effect of input process
parameters related to GTAW and A-TIG, (c) effect of chemical composition and various alloying elements
in steel on penetration achieved by A-TIG, (d) feasibility studies of A-TIG on ferrous and non-ferrous
metals and (e) technological problems associated with A-TIG. | Recent development in TIG process to enhance the depth of penetration ."
Study of the characteristics of duplex stainless steel activated tungsten inert.pdf,"6, 3, 200, 2, 2, 2, 4, 3, 5, 4",,150,,,,,"MaterialsandDesign32(2011)255–263
ContentslistsavailableatScienceDirect
Materials and Design
journal homepage: www.elsevier.com/locate/matdes
Study of the characteristics of duplex stainless steel activated tungsten inert
gas welds
Tsann-Shyi Cherna, Kuang-Hung Tsengb,*, Hsien-Lung Tsaia
aDepartmentofMechanicalEngineering,NationalTaiwanUniversityofScienceandTechnology,Taipei106,Taiwan
bDepartmentofMaterialsEngineering,NationalPingtungUniversityofScienceandTechnology,Pingtung912,Taiwan
a r t i c l e i n f o a b s t r a c t
Articlehistory: Thepurposeofthisstudyistoinvestigatetheeffectsofthespecificfluxesusedinthetungsteninertgas
Received6April2010 (TIG)processonsurfaceappearance,weldmorphology,angulardistortion,mechanicalproperties,and
Accepted31May2010 microstructureswhenwelding6mmthickduplexstainlesssteel.Thisstudyappliesanovelvariantof
Availableonline4June2010
theautogenousTIGwelding,usingoxidepowders(TiO ,MnO ,SiO ,MoO ,andCr O ),tograde2205
2 2 2 3 2 3
stainlesssteelthroughathinlayerofthefluxtoproduceabead-on-platejoint.Experimentalresultsindi-
Keywords: catethatusingSiO ,MoO ,andCr O fluxesleadstoasignificantincreaseinthepenetrationcapabilityof
2 3 2 3
A.Ferrousmetalsandalloys
TIGwelds. | TheactivatedTIGprocess canincreasethe jointpenetrationandthe welddepth-to-width
D.Welding
ratio,andtendstoreducetheangulardistortionofgrade2205stainlesssteelweldment.Theweldedjoint
G.Metallography
alsoexhibitedgreatermechanicalstrength.Theseresultssuggestthattheplasmacolumnandtheanode
rootareamechanismfordeterminingthemorphologyofactivatedTIGwelds. | 1.Introduction ing gas is limited to a 3mm depth for the butt-joint of stainless
steels[10,11].Iftheweldcurrentincreasesorthetravelspeedde-
Duplexstainlesssteeltypicallycomprisesmicrostructurescon- creases, the weld bead becomes excessively wide with relatively
sistingofapproximatelyequalproportionsofbody-centeredcubic littlegaininthepenetrationcapability. | ferriteandface-centeredcubicaustenite.Thesetwophasespossess Therefore,itisnecessarytoimprovethepenetrationcapability
varying affinities for alloying elements in duplex stainless steels and manufacturing productivity of TIG welding. | ically results in a 200–300% increase in penetration capability
Thefabricationofmetalstructuresrequirestheextensiveuseof [17,20], therebyreducingweldtime,reducingcostsfor manufac-
various metal welding processes, and welding technology is an turers,andavoidingcast-to-castvariationsinbasematerialcom-
important part of materials development."
Activated_flux_TIG_welding_of_stainless_steel_pipe.pdf,"2019., 1, 1., 4, 2, 3, 3, 4, 4, 1","4, 8., 16.","400, 200",,,,,"The results show that the flux influences a
significant increase in penetration depth, up to the full penetration, which has a positive effect on the
increase in the tensile and bending properties of the weld metal. | Keywords: orbital welding, oxide coating, mechanical properties, depth of welding
Highlights:
• 20 nm TiO nano particles proved effective in increasing the penetration. | In A-TIG process, penetration is
increased, a lower electric energy consumption is achieved, no V-preparation and consumables are
needed. | the increase in weld penetration can be attributed to the
reversal of Marangoni convection [11,18]. | They found that particle size of Al O
2 3
does not have a significant influence on penetration, unlike SiO ."
